,gsp_id,gsp_name,pes_id,region_id
213,213,NORL_3,23,213
214,214,NORM_1|SALL1,10,214
215,215,NORT_1,15,215
216,216,NURS_1,20,216
217,217,OCKH_1,14,217
218,218,OFFE_3,15,218
219,219,OLDB_1,14,219
220,220,OSBA_1,15,220
221,221,PADIB1,16,221
222,222,PAIS,18,222
223,223,PART,18,223
224,224,PEHG_P,17,224
225,225,PEHS_P|STRI_P,17,225
226,226,PELH_1,10,226
227,227,PEMB_1,21,227
228,228,PENE_1,15,228
229,229,PENN_1,14,229
230,230,PENT_1,13,230
231,231,PENW_1|STAH_1|WABO,16,231
232,232,PERS_P,17,232
233,233,PITS_3,23,233
234,234,POOB,18,234
235,235,POPP_3,15,235
236,236,PORA_P,17,236
237,237,PORD,18,237
238,238,PYLE_1,21,238
239,239,QUOI_P,17,239
240,240,RAIN_1,13,240
241,241,RANN_P,17,241
242,242,RASS_1,21,242
243,243,RATS_1,11,243
244,244,RAVE|WISH,18,244
245,245,RAYL_1,10,245
246,246,REBR_3,12,246
247,247,REDH,18,247
248,248,REDM_P,17,248
249,249,ROCH_1,16,249
250,250,RUGEB1,14,250
251,251,RYEH_1,10,251
252,252,SACO,18,252
253,253,SALH_1,15,253
254,254,SALT_1,23,254
255,255,SANX,18,255
256,256,SBAR,11,256
257,257,SEAB1,22,257
258,258,SELL_1,19,258
259,259,SFEG_P,17,259
260,260,SFIL_P,17,260
261,261,SHEC_3,23,261
262,262,SHIN_P,17,262
263,263,SHRU,18,263
264,264,SHRW_1,14,264
265,265,SIGH,18,265
266,266,SJOW_1,12,266
267,267,SKLGB1,23,267
268,268,SLOY_P,17,268
269,269,SMAN_1,16,269
270,270,SPAV,18,270
271,271,SPEN_1,15,271
272,272,SSHI_3,15,272
273,273,STAL_1,16,273
274,274,STAY_1,11,274
275,275,STEN_1,15,275
276,276,STES_1,15,276
277,277,STHA,18,277
278,278,STIR,18,278
279,279,STLE,18,279
280,280,SUND_1,10,280
281,281,SWAN_1,21,281
282,282,TARL_P,17,282
283,283,TAUN1,22,283
284,284,TAYN_P,17,284
285,285,TELR,18,285
286,286,TEMP_3,23,286
287,287,THOM_6,23,287
288,288,THSO_P,17,288
289,289,THUR_6,23,289
290,290,TILBB_1,10,290
291,291,TOTT_1,10,291
292,292,TRAW_1,13,292
293,293,TUMB_P,17,293
294,294,TYNE_1|TYNE_2,15,294
295,295,UPPB_1|UPPB_3,21,295
296,296,WALH_1,14,296
297,297,WALP_1,10,297
298,298,WALP_B,11,298
299,299,WARL_1,10,299
300,300,WATFS_1,10,300
301,301,WBOL_6,15,301
302,302,WBUR_1,11,302
303,303,WFIE,18,303
304,304,WGEO,18,304
305,305,WHGA_1,16,305
306,306,WHHO,18,306
307,307,WIBA_3,23,307
308,308,WIEN_1,14,308
309,309,WILL_1,11,309
310,310,WIMBN1|WIMBS1,12,310
311,311,WIOW_P,17,311
312,312,WMEL_1,23,312
313,313,WOHI_P,17,313
314,314,WTHU31,10,314
315,315,WWEY_1,19,315
316,316,WYLF_1,13,316
317,317,WYMOM_1,10,317
